Time,Bid,Ask,EUR,BTC,Trade
2013-12-25 22:11:00,493.3,495.7,1500,0,0
2013-12-25 22:11:00,493.3,495.7,1500,0,0
25 Dec 13 22:11,493.3,495.7,1500,0,0
25 Dec 13 22:17,493.3,495.7,1500,0,0
25 Dec 13 22:27,493.3,495.7,1500,0,0
25 Dec 13 22:37,495.3,497.1,1500,0,0
25 Dec 13 22:47,495.3,495.3,1500,0,0
25 Dec 13 22:58,495.5,497.1,1500,0,0
25 Dec 13 23:06,495.5,497.8,1500,0,0
25 Dec 13 23:16,495.5,497.7,1500,0,0
25 Dec 13 23:26,495.4,497.8,1500,0,0
25 Dec 13 23:36,495.1,496.6,1500,0,0
25 Dec 13 23:46,496.6,499.0,1500,0,0
25 Dec 13 23:56,495.4,497.8,1500,0,0
26 Dec 13 00:06,497.4,499.0,1500,0,0
26 Dec 13 00:16,494.2,496.6,1500,0,0
26 Dec 13 00:26,497.3,499.0,1500,0,0
26 Dec 13 00:36,497.3,499.0,1500,0,0
26 Dec 13 00:46,499.0,499.0,1500,0,0
26 Dec 13 00:56,498.5,499.0,1500,0,0
26 Dec 13 01:06,499.0,499.0,1500,0,0
26 Dec 13 01:16,497.3,499.0,1500,0,0
26 Dec 13 01:26,497.3,499.0,1500,0,0
26 Dec 13 01:36,498.9,499.0,1500,0,0
26 Dec 13 01:47,498.9,499.0,1500,0,0
26 Dec 13 01:57,502.1,503.9,1500,0,0
26 Dec 13 02:07,505.1,505.9,1500,0,0
26 Dec 13 02:17,502.0,504.5,1500,0,0
26 Dec 13 02:27,503.2,505.7,1500,0,0
26 Dec 13 02:37,504.4,505.7,1500,0,0
26 Dec 13 02:47,504.5,505.8,1500,0,0
26 Dec 13 02:57,503.3,504.5,1500,0,0
26 Dec 13 03:07,501.1,503.3,1500,0,0
26 Dec 13 03:17,502.7,505.0,1500,0,0
26 Dec 13 03:27,502.7,504.0,1500,0,0
26 Dec 13 03:37,502.7,504.0,1500,0,0
26 Dec 13 03:47,498.9,501.4,1500,0,0
26 Dec 13 03:57,497.7,500.1,1500,0,0
26 Dec 13 04:07,500.1,501.4,1500,0,0
26 Dec 13 04:17,498.9,501.4,1500,0,0
26 Dec 13 04:28,501.5,503.9,1500,0,0
26 Dec 13 04:38,501.5,502.0,1500,0,0
26 Dec 13 04:48,501.5,502.0,1500,0,0
26 Dec 13 04:58,501.5,502.0,1500,0,0
26 Dec 13 05:08,501.5,502.0,1500,0,0
26 Dec 13 05:18,501.5,502.0,1500,0,0
26 Dec 13 05:28,501.5,502.0,1500,0,0
26 Dec 13 05:38,502.0,503.9,1500,0,0
26 Dec 13 05:48,502.0,503.9,1500,0,0
26 Dec 13 05:58,502.0,503.9,1500,0,0
26 Dec 13 06:08,502.0,503.9,1500,0,0
26 Dec 13 06:18,502.0,503.9,1500,0,0
26 Dec 13 06:28,500.1,501.4,1500,0,0
26 Dec 13 06:38,496.1,498.4,1500,0,0.51657017786
26 Dec 13 06:49,500.8,502.1,1242.54142335,0.51657017786,0
26 Dec 13 06:59,504.0,506.0,1242.54142335,0.51657017786,-0.51657017786
26 Dec 13 07:09,502.7,504.0,1502.892793,1.11022302463e-16,0
26 Dec 13 07:19,501.5,501.9,1502.892793,1.11022302463e-16,0
26 Dec 13 07:29,501.9,504.0,1502.892793,1.11022302463e-16,0
26 Dec 13 07:39,513.0,513.1,1502.892793,1.11022302463e-16,0
26 Dec 13 07:49,513.1,515.7,1502.892793,1.11022302463e-16,0
26 Dec 13 07:59,511.9,513.1,1502.892793,1.11022302463e-16,0
26 Dec 13 08:09,511.9,513.1,1502.892793,1.11022302463e-16,0
26 Dec 13 08:19,511.8,513.1,1502.892793,1.11022302463e-16,0
26 Dec 13 08:29,511.8,513.1,1502.892793,1.11022302463e-16,0
26 Dec 13 08:39,514.0,514.0,1502.892793,1.11022302463e-16,0
26 Dec 13 08:49,512.0,514.3,1502.892793,1.11022302463e-16,0
26 Dec 13 08:59,517.5,518.9,1502.892793,1.11022302463e-16,0
26 Dec 13 09:09,517.5,519.0,1502.892793,1.11022302463e-16,0
26 Dec 13 09:19,522.0,523.4,1502.892793,1.11022302463e-16,0
26 Dec 13 09:30,518.9,520.0,1502.892793,1.11022302463e-16,0
26 Dec 13 09:40,513.1,515.0,1502.892793,1.11022302463e-16,0.522897648956
26 Dec 13 09:50,513.2,515.0,1233.60050378,0.522897648956,0
26 Dec 13 10:00,522.1,524.8,1233.60050378,0.522897648956,-0.522897648956
26 Dec 13 10:09,523.7,525.1,1506.6053663,-1.11022302463e-16,0
26 Dec 13 10:19,525.1,528.6,1506.6053663,-1.11022302463e-16,0
26 Dec 13 10:36,525.1,525.5,1506.6053663,-1.11022302463e-16,0
26 Dec 13 10:46,522.4,523.7,1506.6053663,-1.11022302463e-16,0
26 Dec 13 10:56,522.1,523.7,1506.6053663,-1.11022302463e-16,0
26 Dec 13 11:06,525.5,527.0,1506.6053663,-1.11022302463e-16,0
26 Dec 13 11:16,527.0,527.1,1506.6053663,-1.11022302463e-16,0
26 Dec 13 11:26,527.2,528.1,1506.6053663,-1.11022302463e-16,0
26 Dec 13 11:36,523.3,525.5,1506.6053663,-1.11022302463e-16,0
26 Dec 13 11:46,527.2,528.0,1506.6053663,-1.11022302463e-16,0
26 Dec 13 11:56,521.2,522.6,1506.6053663,-1.11022302463e-16,0
26 Dec 13 12:06,523.0,523.0,1506.6053663,-1.11022302463e-16,0
26 Dec 13 12:16,520.0,520.2,1506.6053663,-1.11022302463e-16,0
26 Dec 13 12:27,517.0,518.5,1506.6053663,-1.11022302463e-16,0.59779597707
26 Dec 13 12:37,520.0,521.0,1196.64815219,0.59779597707,0
26 Dec 13 12:47,516.3,516.3,1196.64815219,0.59779597707,0
26 Dec 13 12:57,516.2,518.0,1196.64815219,0.59779597707,0
26 Dec 13 13:07,520.0,522.6,1196.64815219,0.59779597707,0
26 Dec 13 13:17,521.3,522.6,1196.64815219,0.59779597707,0
26 Dec 13 13:27,521.3,523.0,1196.64815219,0.59779597707,0
26 Dec 13 13:37,520.0,521.3,1196.64815219,0.59779597707,0
26 Dec 13 13:47,520.0,521.0,1196.64815219,0.59779597707,0
26 Dec 13 13:57,523.9,525.0,1196.64815219,0.59779597707,0
26 Dec 13 14:07,523.6,524.9,1196.64815219,0.59779597707,0
26 Dec 13 14:17,521.2,523.8,1196.64815219,0.59779597707,0
26 Dec 13 14:27,525.0,525.5,1196.64815219,0.59779597707,0
26 Dec 13 14:37,526.0,526.3,1196.64815219,0.59779597707,0
26 Dec 13 15:59,534.385,535.0,1196.64815219,0.59779597707,-0.59779597707
26 Dec 13 16:01,530.90679,532.37397,1516.1013554,-2.22044604925e-16,0
26 Dec 13 16:03,533.97023,535.0,1516.1013554,-2.22044604925e-16,0
26 Dec 13 16:09,533.83116,533.92546,1516.1013554,-2.22044604925e-16,0
26 Dec 13 16:19,533.84124,534.98,1516.1013554,-2.22044604925e-16,0
26 Dec 13 16:29,533.83725,535.0,1516.1013554,-2.22044604925e-16,0
26 Dec 13 16:39,531.2,531.9999,1516.1013554,-2.22044604925e-16,0
26 Dec 13 16:49,530.1,531.9999,1516.1013554,-2.22044604925e-16,0
26 Dec 13 16:59,531.0,535.0,1516.1013554,-2.22044604925e-16,0
26 Dec 13 17:09,535.16546,537.83198,1516.1013554,-2.22044604925e-16,0
26 Dec 13 17:19,540.51,543.18085,1516.1013554,-2.22044604925e-16,0
26 Dec 13 17:30,542.00001,544.52668,1516.1013554,-2.22044604925e-16,0
26 Dec 13 17:40,545.90126,547.26328,1516.1013554,-2.22044604925e-16,0
26 Dec 13 17:50,546.88,548.47,1516.1013554,-2.22044604925e-16,0
26 Dec 13 17:55,547.86,548.0,1516.1013554,-2.22044604925e-16,0
26 Dec 13 18:05,545.0,547.31863,1516.1013554,-2.22044604925e-16,0
26 Dec 13 18:15,543.41,546.0,1516.1013554,-2.22044604925e-16,0
26 Dec 13 18:25,549.0,550.0,1516.1013554,-2.22044604925e-16,0
